Watching for file changes with StatReloader
Watching for file changes with StatReloader
Watching for file changes with StatReloader
"GET / HTTP/1.1" 200 10697
"GET /static/admin/css/fonts.css HTTP/1.1" 200 423
"GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
"GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
"GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
"GET /admin/ HTTP/1.1" 302 0
"GET /admin/login/?next=/admin/ HTTP/1.1" 200 2215
"GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2616
"GET /static/admin/css/base.css HTTP/1.1" 200 19513
"GET /static/admin/css/login.css HTTP/1.1" 200 954
"GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3401
"GET /static/admin/css/responsive.css HTTP/1.1" 200 18575
"POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
"GET /admin/ HTTP/1.1" 200 3327
"GET /static/admin/css/dashboard.css HTTP/1.1" 200 380
"GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
"GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
/home/lahou/DA-Python/P12/crm/crm/settings.py changed, reloading.
INFO 2022-05-27 12:34:50,340 autoreload 43594 140446691546944 Watching for file changes with StatReloader
INFO 2022-05-27 12:35:07,019 basehttp 43594 140446627940096 "GET /admin/auth/user/ HTTP/1.1" 200 7983
INFO 2022-05-27 12:35:07,200 basehttp 43594 140446627940096 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2022-05-27 12:35:07,202 basehttp 43594 140446627940096 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2022-05-27 12:35:07,204 basehttp 43594 140446627940096 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2022-05-27 12:35:07,235 basehttp 43594 140446627940096 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2022-05-27 12:35:07,239 basehttp 43594 140446627940096 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2022-05-27 12:35:07,250 basehttp 43594 140446627940096 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2022-05-27 12:35:07,255 basehttp 43594 140446627940096 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6932
INFO 2022-05-27 12:35:07,265 basehttp 43594 140446618236672 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 288580
INFO 2022-05-27 12:35:07,276 basehttp 43594 140446618236672 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2022-05-27 12:35:07,280 basehttp 43594 140446618236672 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2022-05-27 12:35:07,291 basehttp 43594 140446618236672 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2022-05-27 12:35:07,285 basehttp 43594 140446609843968 "GET /static/admin/js/core.js HTTP/1.1" 200 5698
INFO 2022-05-27 12:35:07,309 basehttp 43594 140446609843968 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2022-05-27 12:35:07,310 basehttp 43594 140446627940096 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2022-05-27 12:35:07,315 basehttp 43594 140446593058560 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7902
INFO 2022-05-27 12:35:07,316 basehttp 43594 140446601451264 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 5984
INFO 2022-05-27 12:35:07,412 basehttp 43594 140446618236672 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2022-05-27 12:35:07,571 basehttp 43594 140446618236672 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2022-05-27 12:35:07,572 basehttp 43594 140446609843968 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2022-05-27 12:35:07,595 basehttp 43594 140446618236672 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2022-05-27 12:35:38,138 basehttp 43594 140446618236672 "GET /admin/auth/user/add/ HTTP/1.1" 200 7011
INFO 2022-05-27 12:35:38,288 basehttp 43594 140446609843968 "GET /static/admin/css/forms.css HTTP/1.1" 200 8878
INFO 2022-05-27 12:35:38,295 basehttp 43594 140446593058560 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2022-05-27 12:35:38,301 basehttp 43594 140446601451264 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 492
INFO 2022-05-27 12:35:38,309 basehttp 43594 140446618236672 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2022-05-27 12:35:38,436 basehttp 43594 140446618236672 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11097
INFO 2022-05-27 12:35:52,605 basehttp 43594 140446618236672 "POST /admin/auth/user/add/ HTTP/1.1" 200 7300
INFO 2022-05-27 12:35:52,719 basehttp 43594 140446618236672 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
